Gene,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell
KRT5,19.1068300424,16.5876080808,17.7316154525,15.2722702716,20.5944800567,13.9268598947,23.6944845396,8.1973294905,23.417570141,13.8171112242,16.7259552066,19.2985384042,10.37859695,10.1011237891,16.1777637542,14.4075336808,20.0145637185,23.1590407761,32.3392818443,76.1294108791
KSR1,29.7542943501,51.0467008596,31.0595117344,33.5262586654,39.8338673854,32.2044450877,23.3123838422,34.1009615833,210.0808156267,25.3086913648,30.4748050429,28.1091283572,23.5443051417,18.8668555438,26.6530873964,21.904453749,19.534752193,36.7959362082,23.5454116634,28.5893472083
LAIR1,134.2345605623,221.7075953492,82.8197457535,117.4395769271,66.8515394643,78.8739916433,88.5624479572,540.3414219614,69.7996458557,57.6652295859,124.7153558771,112.3038393729,413.7627919869,302.2802132208,58.2311143854,147.0294785865,169.3916157852,70.5589278497,40.7420728168,59.7615402455
LAMP3,33.4583233044,19.9513488659,51.0655986208,29.0880372299,14.4246916698,33.7397646995,19.8150191927,45.4470580515,50.5252418452,36.3611127172,13.943638576,60.2536611574,133.2219922263,47.0376802303,12.5356878638,363.5602236572,14.4047973996,59.8760878673,127.041285132,39.0060177714
LGALS13,14.8067731185,19.4960241865,15.3010189624,22.8982559534,8.7429144199,14.385614395,13.1236510334,15.0671454205,15.2665616779,16.4893047785,15.5547849481,26.4498330892,21.4655101696,23.4300031026,15.3252654299,12.387321693,17.0660946864,22.3329787805,19.49360263,21.5068366389
LILRA3,257.4257181169,269.1539238102,32.3439602857,33.1772773853,19.4227567792,20.4219805041,23.1306101409,22.8167394227,14.9031288835,8.7330844787,34.4430089027,43.3107911174,425.9391278164,135.6432382791,15.3397543223,95.1109429428,19.2519621519,123.9284560314,15.7739295272,11.150930875
LILRA4,29.126502126,31.4340404237,23.6149220118,29.4035945114,30.5753043329,26.7100661895,22.822709575,30.6814449378,40.1149263773,10.9294152013,35.1483583498,32.6818690592,33.7537209864,41.4143712378,59.5833809881,26.8206901137,58.6869802115,38.7056445286,20.6501426757,218.8467606204
LILRA5,70.3529879627,171.9406186898,31.7240427483,26.3397674274,18.3224611629,15.0240659599,13.2871531982,18.6533258724,9.8799388649,13.6388329078,13.975856643,29.9637014517,111.6976491369,44.1010288001,15.5281479937,43.3605238987,18.0771554581,91.4395069201,16.9680472465,23.508743226
LILRB1,261.5720198245,338.2947964463,39.5345331968,66.9151529536,50.6460214429,39.544587512,20.9347991772,268.3114588804,17.9663399177,21.1716451957,35.4787247496,69.6174309918,283.3628638326,206.3783712183,86.4501081329,136.5097128287,88.7895352385,104.6336778554,65.4113681281,75.1977192286
LIMA1,24.4350720046,19.2144554347,74.867130303,43.1403999769,28.6778702765,49.8257094635,182.8321267968,21.5179760082,16.6411565952,47.0788853452,44.2908919046,51.6286237516,74.2082156651,149.422444148,39.2585296229,44.4184201351,34.75600124,18.8038390679,46.9573956148,16.9211814
LIMK2,46.6960816167,31.9888340883,42.2214878344,48.3314459362,29.6993841986,39.1021052886,43.4485083659,43.3947840906,57.2127392155,48.8283867757,43.2210170834,35.4648988611,54.2848549723,21.660486071,44.9408966372,26.4673430512,56.8516737503,185.6402223254,23.4597076495,39.8248964089
LIPF,14.5412582036,17.6792306457,13.6558789787,21.2940834763,8.5816075828,15.1301025755,10.2131257832,28.752787766,10.3088649275,14.3213488634,9.104581713,14.9786156291,23.4028435901,20.990308807,13.3264697729,18.4260893719,15.3742955008,25.2161140148,13.1555903475,62.781704247
LRP5L,47.9788720509,105.1239058298,52.9240749115,61.4576958757,44.7954949489,43.3981602002,29.4432462879,922.1525262972,38.2470651094,37.8526423162,75.8797358991,112.5433684528,61.1709113767,74.4195443709,25.3634914357,82.0784920386,30.9649988837,54.7277079106,15.2593635049,55.6112418687
LRRC8D,203.6275923357,201.1363607445,142.8370216126,101.4114072721,116.4554215993,142.7724325305,66.6057252329,35.0025525168,71.8260203441,159.8990858165,326.2287774176,191.3397180281,81.1055756471,89.4276652287,134.294550635,92.279135002,138.7081086659,94.5436721551,129.7432277923,66.6118503733
LSM4,74.4296216506,195.5655032501,121.0106074084,88.9110463364,105.0400739138,135.4259770365,51.9635452277,143.8925285456,55.3230303024,85.9457704618,85.2426378702,126.1834738155,192.3552093861,205.8875006807,105.7842736523,164.2053758007,88.9842759594,37.4394991108,48.3169595323,144.0889733205
MAG,17.7160448053,28.7722583452,19.3801095161,21.7322179625,16.0628752277,15.454430201,17.8779383568,23.5199663422,19.9122098014,11.2290277297,15.0475978752,23.2007309517,14.5154885399,14.0177553749,20.058850384,17.0404277489,18.9625577006,22.2612140915,11.0899223771,78.9793629669
MAL,21.9808204729,17.0057041426,320.712587198,24.3683399639,16.5061362105,182.8970995333,52.7338340479,20.1036417656,16.4261504969,127.5461841821,29.5129721864,13.0653044798,16.0233966101,24.7806588111,22.5895837932,20.9816107304,27.710858196,34.5127406518,52.9614502337,16.4549114515
MAOA,17.5277635359,10.6377987107,16.0434572258,14.3507425028,11.88497491,13.0262328351,77.0678690893,33.6298064216,17.1125093214,15.4162097484,19.2534360335,46.1150768754,70.411593476,476.2210648424,12.7671080364,38.9456206209,10.3992044419,18.2684522663,10.4844398664,32.3259350459
MAPK7,55.6795403455,85.0400534734,38.5306434913,35.1941458997,34.3784927542,39.0413524179,34.2800906614,45.2114050616,23.5836249472,33.1553303668,26.7016645047,32.3665607077,51.4132847539,48.9833906054,32.9707032075,38.1325301327,33.7319444436,33.501139608,30.2712052226,29.1336071412
MAT2B,148.0282412085,132.7647892985,169.0684473358,206.9148486833,189.5613969021,252.7013478024,200.8882764299,181.4001369832,1094.0705752858,170.0011352941,115.8080766366,72.792610848,130.1285400089,175.1308713699,610.1014731474,160.8586724911,693.2130968964,153.0522143602,436.9611497057,61.9286439329
MEST,26.5473974179,18.464747051,22.265918923,20.0602544587,16.2470981874,27.5613998737,17.6239424638,12.1342179133,24.6300710877,19.7937989038,441.4729701629,24.1013089776,11.403056338,11.1887163599,24.2434026101,17.8090224374,26.6982874025,28.1983436748,39.5454807782,31.7010497771
MME,20.1958801927,15.7194224783,16.0194742332,13.8679105128,10.2214851317,13.2275229603,20.8923516087,12.4994240326,29.7855100061,8.9460196585,35.4552856252,22.8386454786,16.5750133656,15.9570777943,16.6613820275,14.4573326335,17.1672555293,238.5493594872,20.9470286663,32.5557919151
MMP25,54.898415969,33.7144977223,35.6535518854,38.6301523964,26.5072330944,37.0141260431,29.0375086847,275.048951111,63.35344234,42.2265898748,29.5675959268,27.6165776254,49.6813949083,41.1621434053,24.159922732,53.9255947263,27.8877984022,167.1530173588,47.0264026927,29.0559982381
MMP8,15.0378252031,10.1788303137,13.5634539955,16.5892246468,9.3184029167,11.4049193073,24.059478685,9.9976690837,23.8202296542,14.0039804409,17.5361665396,44.5721136502,7.3942636247,6.9489408999,14.4653812578,11.9729798583,17.1989056655,41.0690095559,35.7900451056,22.4524927319
MMP9,71.0484368035,19.1212846602,31.3060449814,41.192762208,30.5656117437,24.3290454383,43.2579799961,14.5340427906,29.4517138077,46.0789566516,40.6370504946,1082.3754740401,3825.4047777896,2402.5626296511,22.4605790357,213.2150889641,22.020235173,479.8010018228,80.7830356205,40.1735353792
MOCS3,30.8244457069,16.5814699279,33.9931103546,25.9930569056,19.8576293756,24.9693694314,41.4832126119,18.8698645061,14.9272107046,37.8875123397,23.7831138844,38.8031139227,25.0690812376,27.3408569849,24.2996188833,18.7896313408,28.7616058098,32.078835702,40.2053804672,24.591459285
MPO,43.198404176,34.880546832,23.4473478443,29.2135622407,16.0464284977,16.6351422302,27.9580055053,72.8887001027,30.9786053665,15.1133186124,879.9229546951,45.4792351074,45.8559221305,42.880359437,13.2390239007,21.3278088533,14.5669608816,41.1590176141,23.4789772368,21.2116383992
MPPED2,10.3050056424,12.2570293217,15.0692211197,20.841707483,13.9726975964,11.9196340196,17.5708144863,9.555447093,16.9797265043,11.3464681276,27.6956889727,15.5946945838,6.6577598073,6.7693452496,10.9938966314,14.5473550652,14.5019206886,16.8762077099,11.1646898273,25.8456479106
MRPL3,148.0956751722,236.4708621895,204.3076218395,145.3158348174,148.6067667823,207.7236982914,309.6076601632,63.4051569187,74.057516692,903.2884687089,816.3408027526,100.968762464,111.3596920858,165.7341037449,342.3912238447,170.2310267123,255.0718646496,45.6348842091,446.7543264736,79.4564468924
MRPL4,39.6126157609,41.8043539512,53.7459494831,34.6765421122,38.0976908113,60.7536003979,90.724336089,20.6995273365,11.3090065198,87.9012977881,50.0557278848,45.0060934426,43.6571428558,45.2362354734,53.5109069005,33.4111452901,48.4910991994,17.3265454148,92.4402335648,31.3062312357
MS4A1,23.6248981361,16.3731515511,25.6870311982,23.5991036088,17.084304934,29.0936296735,15.7812207623,24.8858140892,57.1741616589,19.7543486929,19.0395103857,18.1773367826,12.4353970554,13.6263760534,1425.9596729812,19.2408377484,1518.5427334456,31.438092249,78.4635246776,14.1089211603
MS4A6A,446.0485563294,285.9098531193,62.5119524065,39.2291496514,22.3223398112,19.8563611999,36.4731713867,216.2270205073,38.8957135756,13.1425940133,84.6410986479,110.8129236849,84.4535343138,675.7509150819,22.1660887426,161.1051483155,23.8405806639,86.6045650395,32.1173805665,43.9086388878
MT1X,149.8094743389,185.1021295145,132.5304833812,68.8906170646,103.8741230347,162.4430448332,201.1852501331,60.4116701496,67.6386408695,221.9997428648,119.8736835055,199.5262067377,624.8495023069,146.6020721506,72.1404668704,79.4383752375,43.6180816854,86.1766727021,69.0725366699,37.5660483848
MTMR11,179.5649807263,194.8768011647,37.9217295591,27.4890129494,35.2765430878,23.2317249251,25.9858216965,35.9950761186,16.3425806903,16.6340576319,23.3840399957,47.218555883,45.0612383744,33.3560509309,18.3826796614,52.5847331323,20.3520259775,32.2978521248,39.6320039572,28.6791726754
MTSS1,67.8957160685,199.6556970812,45.3101353482,134.1263521226,122.4464250571,41.4567775761,73.7917744888,47.4199027259,31.833962591,27.8577604679,35.8248879605,51.2246045424,53.5153048994,86.2517739178,110.1000478684,104.3038787434,136.8338525693,30.1073676952,25.862017819,45.0516172077
MUC1,24.3094477843,20.3595607905,31.9241941791,16.5191761178,25.7889290097,29.0186326481,33.5833770964,29.6947785818,24.002278517,31.1380812603,43.8836542198,27.3252796296,61.0291056216,27.5726835475,25.3601439152,38.7046104426,21.159409531,31.7979834554,31.1504578921,168.4478729438
MYLIP,97.701217413,307.9021861292,150.0150301051,131.5082242406,225.3320847559,131.2137904143,45.3554302432,684.6693635296,123.0912130735,84.5422296726,126.1833165072,49.4498692472,105.4791332796,111.7434397906,118.9164170015,196.0252618786,131.3911024799,266.9578081505,40.0185743005,37.0446775308
NAGA,193.4523314189,253.9119605848,53.5725992182,40.0458860201,44.3292535553,40.3082889298,164.8621681017,31.4466624246,29.9040594634,65.5068922698,82.7044499593,103.2735677361,82.3019476501,150.593304846,64.6415309871,99.476183174,56.9180861478,39.6781419337,77.7584406506,68.6149227363
NBN,87.1834030823,73.5955845343,64.7796919652,102.7631609464,169.8097567461,81.1740627424,61.5490860724,57.8561739698,178.2442918871,92.4364431876,114.3973441221,75.7572301005,107.3839160174,69.55819286,105.0491687915,79.7406348148,71.558353328,169.7808263853,50.5505485182,28.4816230679
NBR1,63.4784116402,21.8699243403,58.8106942593,54.0153448344,73.0914479364,69.5827310717,87.7308896362,26.120039729,128.5778845499,87.3933569302,35.3747238386,35.0080704308,20.3010840024,32.9977681656,66.6063615966,27.3527915344,61.0799005409,71.6266570127,129.494634852,28.1717675496
NDRG2,26.9403765932,27.4015921807,39.6122607434,31.9047019505,29.6999487027,26.8145684143,37.5518116967,27.179903038,28.7322580061,19.0041542916,23.7141841642,41.411620146,48.4615790567,52.4306717417,26.7308550583,97.854022457,29.1725599024,32.0372920289,32.1550325349,37.3800185453
NEFL,13.4644492303,17.563712339,29.2476967536,13.7233336806,14.7562355089,14.1920709434,40.6386638589,19.8606702627,13.8183414015,12.5553510475,8.7453819439,18.3267312508,14.4948031298,13.2782585241,14.1005009328,18.8451213012,13.4126695627,24.8321251161,9.9336534252,20.6265909434
NGFRAP1,45.9034399391,39.2656349661,95.3707522111,32.4634148483,27.1235039441,85.7695014998,329.1389036343,44.1028577692,37.1031877688,29.2525573995,1322.7003884438,77.2354358448,55.0732177653,71.0260706028,28.737754291,74.6223776315,23.2582616693,40.0886175704,87.7249828607,18.9794831352
NME1,82.8686148124,123.7898164104,110.4531212936,54.0026612192,53.0567514697,121.382950685,351.918976171,40.35959092,38.173911056,454.4322734111,636.1541749264,135.4819185229,91.8665510783,106.0579618853,233.528189553,99.9245619981,176.1862466624,43.1976045951,509.0722502552,285.7921777031
NOTCH4,30.0339226297,82.350659831,26.0492633332,27.0091715081,40.0253695213,22.2450776064,31.5167063075,21.5020195735,27.5909544437,17.9584548049,24.7979511128,22.8373663842,25.507939871,16.4573323582,29.4469327285,20.0983258304,35.3861035796,25.0042612398,27.6104723618,29.0777003033
NOV,18.1895401248,22.7539841712,18.7260195887,15.7963596836,20.2722674565,14.6829381032,19.4697762287,32.7116421109,45.3278159021,14.8962481621,23.0938950509,33.4281370063,24.6213233429,28.3460764378,13.5932615821,19.122639111,18.6857987851,116.4208383048,16.9499466136,22.8498506362
NPEPPS,81.2540980404,70.5836773796,80.709665122,61.6176030472,241.1978711861,81.3194269887,54.3692388977,129.1853597887,140.2037988463,106.969532119,82.5331662242,31.2462526638,59.8711673658,74.8799305139,77.2394001524,102.6086012469,70.2679603411,113.2371581604,42.2821474629,33.2236216894
NR2E3,16.8625043393,14.6254432227,18.5704127393,17.4038977286,27.860255969,15.0325060447,11.6880241591,9.6246998204,24.849720402,12.4918832114,13.4271578792,24.6251879334,10.3507062784,10.2062887313,18.8054038299,14.5869881621,20.0351854827,19.8989924255,12.097324588,20.1684554549
NR4A2,44.3785675468,237.0473623429,97.4808909595,87.9594745966,937.6631015878,170.0973232514,49.6421597255,179.5333547341,103.1894066547,121.0234047889,147.6916230516,19.6206653822,49.3732162184,34.2496536848,60.676807206,112.9270035549,48.2305510518,179.0937792997,69.0975665321,12.6526350852
NRG1,41.9740924419,20.0843216847,18.1965284697,15.0107183552,20.3069576222,16.3653562516,20.2966003535,14.2663141746,17.3261288979,12.0925177033,12.9012727068,13.3085430233,11.2249706395,11.9293724623,14.2977640705,21.6495474505,15.5580084069,21.6911216205,15.2761836091,14.4423131382
NRGN,183.1562184139,129.2336011295,41.3399071671,29.186405951,34.1991554496,29.9020455474,61.2410368942,27.200958091,19.7444340234,22.5556106781,47.9494984713,32.3678386731,24.0883386986,47.5736543775,20.8757548831,27.7379162813,23.0241252236,72.8598999408,33.3527333515,62.3741346786
NUDT1,55.3550016122,129.6974598596,78.8765251147,52.286829299,73.5144650329,86.9446482653,57.0174401038,62.9012883932,12.6611065908,78.9071021622,279.654092201,181.8272432687,40.5867819078,64.728852113,78.8452125987,125.8953968079,69.0775236975,21.4163081356,23.2652848447,312.4891873203
NUDT18,54.2446072408,119.0920061258,56.6508180296,48.6051099988,35.3567860056,52.8554450829,25.2285304739,78.0918005667,21.376223122,50.2200260502,43.9173415994,96.4422957454,105.1662328068,81.7734972137,34.30207126,75.4976606901,39.3210019427,46.2659202016,34.9714651795,93.7256493704
NXT1,93.7728910135,225.2499083089,164.1503967536,98.9993325981,156.1548961262,224.0567431425,79.756476282,155.1276135314,89.8272214384,220.9565384041,243.7954668219,50.3483597402,187.9016481147,191.3591697607,97.1104217314,217.3228601453,116.4704662724,105.7406050209,163.3383388597,79.6005751295
NXT2,64.9470388307,110.436086254,58.7569052369,66.0861245079,90.646293835,59.6484576556,220.7561155264,53.7523610166,29.7597786629,79.5487096905,79.1047570401,35.5261012844,94.3514769416,85.2656045674,70.971961893,93.7968489527,47.1308585096,55.6371049972,36.4438137681,100.7763011054
OLFM1,37.2023752743,55.5957250994,19.5017648162,17.6128246225,13.3920558816,15.3121072029,17.2473708169,11.5026810638,18.0344960578,12.701929448,19.2063854875,23.4782401836,23.8366361129,21.1287976973,13.6035286811,24.9653632552,13.0159122077,18.5558710725,18.2394040848,25.8238207996
OR2F1,18.7656117,13.921443044,18.1424291526,15.2880381946,15.638387267,12.856057756,24.352628566,10.1001942475,20.9229567,13.3512062346,15.1985176275,20.7821099103,9.7270192172,9.9474810621,11.7585450442,12.7617706612,14.7054654552,18.9402820708,18.9596940195,17.3033775607
OR2J2,13.3275987155,14.8639424851,14.1754685257,11.6268981452,7.6450690003,9.6886083054,14.4778087274,12.4292015007,7.9616517982,9.1192873606,9.1340796976,23.9369193689,8.2062247185,8.2621440954,10.8305204482,13.6810185882,12.4820215604,15.812214452,10.8170184582,31.4535873716
ORM1,24.1427618456,22.1961420355,17.5260990159,15.9454088146,12.4992703918,16.9112300634,16.8101258912,21.4901473112,12.7152558436,8.1456584418,14.8878710241,43.1834700914,71.6074991191,15.6340661672,16.1829762928,15.7226776857,15.9225927634,185.8752814716,15.6965992235,50.7615616718
OSBPL10,16.3402691693,11.2294828899,19.3878389116,18.609008877,20.4900864524,18.3711161642,16.2629186087,11.4863943145,22.9771818811,19.3805668158,23.4201945604,20.3640021309,16.2018211503,23.0933570153,104.86993862,16.4732230283,105.2785230146,21.347561214,48.3828619425,14.9385252171
PALLD,52.1107866944,43.4040973616,25.1429924794,60.3961994602,34.0097198554,22.0000184168,59.617679515,660.4177086446,10.1330696753,17.9831175316,22.7582382394,90.7179326183,64.22008231,322.8395318535,25.6490880708,127.0726754045,25.6123871951,20.771899648,14.1709447831,55.3909787271
PANX1,49.1837979869,50.3696546552,46.1991678912,50.0025085333,80.050548401,44.6153408062,57.9197522725,23.5165345119,29.9826790648,63.785534431,36.4783394965,48.9195025561,93.9269787784,38.5361558051,34.6667810385,53.3975965132,25.5423917077,24.1713017604,33.607997958,22.6454554291
PAX5,23.4441257069,15.4584011826,18.6752711586,20.578075183,21.4455640543,22.3466671494,23.5336747968,9.2783382304,35.3188893593,20.027486399,38.7347853453,22.0522076776,12.4321525983,10.2606426319,169.2611703798,16.9724920674,212.0252857136,24.081326062,43.3290565209,40.0094804997
PCGF2,24.9424096249,42.002228085,27.8505905918,23.9077890016,24.7596454327,24.0797379164,29.8830974861,15.0317034546,21.8717801869,28.4744064858,30.2580836465,25.2685746113,54.5211579572,38.4165852328,29.0003302348,21.7540217817,28.8588024614,34.7081638541,47.6277853605,179.9496030909
PDGFB,23.7858012537,19.348624758,23.7937756998,21.254071421,14.802610541,22.1011258415,21.497696082,21.5474931705,18.7980338303,15.1829141489,22.140192108,32.4305764541,31.8521799027,39.577951182,18.2797320778,29.783514428,23.8990412416,21.9189288959,24.1588388408,132.1503550624
PDK4,68.8026999836,123.6134414652,22.0745130367,20.5818434405,15.1846647561,14.7337155242,15.1433744144,19.41077844,125.2055514312,10.2740539712,22.5850626997,26.7538025988,32.039132654,41.8729151754,14.5810636193,32.8007228345,21.1842502042,36.611014964,14.6207215189,23.4581802642
PGLYRP1,26.5287510087,21.3977660947,21.1532056069,20.2761390471,17.987481594,18.5787045226,20.6609282161,30.7031689652,53.2046371517,8.959321575,23.0137811771,45.0774520113,16.9733048906,17.5649387328,14.7484007255,16.8930252018,16.8984760061,169.4718448743,22.0972805438,21.5438993344
PHEX,18.7627019861,15.9330514995,23.6882834948,17.6463536566,14.8053122865,22.5783386913,15.9942777337,16.708633573,19.5016023833,22.0246067413,9.9250409104,16.4550605038,13.0856575364,13.1232024745,21.8654994521,17.8084530641,22.6047145117,30.8425842814,31.3345757969,116.5278916296
PI3,33.5527768049,14.9690027466,18.8127958985,34.3754554515,16.0427117139,16.402216209,15.019608918,12.8681738411,15.9931770403,14.5841909594,13.1281970718,30.7730696752,18.5902680759,12.4918559121,20.6320427205,14.66668139,25.1435673453,486.9529894876,17.4070453532,21.8515523339
PIK3CG,42.0216534994,143.0564555603,58.9787754335,102.4660154646,146.0602812928,50.7120665898,31.6818128328,184.5952155124,66.9416154978,65.6642376074,34.4516109862,36.3715768229,85.420993885,81.7127390551,68.211915224,88.2627671373,73.0946647306,121.6946636015,25.7891712188,53.9722312521
PLAT,12.7671672682,11.0831743198,17.8518732955,18.6301377492,18.9446179579,11.1476674255,312.298202462,16.1723168223,17.5393431578,15.8048915833,11.0814718589,13.3769573507,14.3895542993,11.1570771756,13.0355305806,23.9216333561,15.9115202585,21.2118344094,11.2663138263,19.2974076106
POU2AF1,18.1922977774,9.6927277297,41.1052620775,23.0480920561,22.3530883058,26.7126519333,12.9604194464,17.6527166919,80.29676955,20.443177565,23.8555640598,25.8795454993,13.4418542367,16.7214804045,579.4564008411,14.4425162185,793.3270890625,22.9544476726,1310.106229217,22.6104889421
PPA1,427.7470603625,362.7888701339,369.0317681363,137.4205704003,142.9054878294,423.1915340749,322.1897950993,93.8838271248,123.4163002211,793.8150404259,1293.448964331,241.3422967498,883.8645712364,284.5844176291,419.2890919863,890.925261482,277.6064136924,69.6937820223,802.6122966881,88.079506316
PRKCDBP,28.7423319986,14.3224731549,28.4017009603,21.20868645,23.9867813724,19.8585874808,14.1273478012,25.9136598279,33.7452777141,19.7129611848,10.9638711425,62.9638251671,86.782184285,61.9677625558,13.2532074372,81.667445446,14.3270485051,21.074361278,17.8627544596,43.0948771081
PROM1,12.4050490972,11.005327873,17.0483903366,20.4237554296,13.1831782576,13.7756883796,16.3859680957,50.3032461202,39.6722477474,16.2933289126,482.323548131,20.7632792366,8.9046866467,12.9749650499,12.1365548938,14.4047140891,10.9997488103,25.8065338941,12.7086727534,22.2982429526
PRR5,24.5899360528,48.4788077382,53.4617840424,53.6129555492,56.8997547643,103.0902470691,25.9099215261,22.2870930417,16.698144317,52.2410204913,68.2068745769,30.9443901323,39.218155769,35.8926020988,40.2804458236,20.416525524,26.3698590486,26.1590010567,53.6689155771,52.8082479214
PSAT1,25.6918575073,13.4420995095,47.4081750113,40.8473356496,14.3895296365,46.8931408431,159.275684548,13.2727098586,15.190059511,168.1741602956,28.7146306063,51.9048923664,27.6171244802,24.6517047273,57.121704616,19.2540963369,30.480607634,24.810619257,207.3784957271,39.0056604482
PTPN13,11.9274130141,27.8048782415,28.3516348625,18.9355445098,18.4042091461,9.5171586086,9.7723160028,13.2680101146,25.724642289,13.9572835827,9.7407820488,29.5697039696,10.5964479605,11.9772099821,13.4450712101,17.116206661,11.1630195896,18.8316152403,7.5036600496,15.6794629748
PTPRK,11.0419736413,9.9163789792,19.6879845826,15.2737182528,9.662547653,33.0911658421,34.8772991277,13.7701522079,39.1243572482,14.3317484695,10.062623124,14.1953445158,9.3482261967,7.0119893111,50.5643772475,18.4687390965,83.3268930972,19.1953158894,43.8442648791,16.0342334831
PTPRS,20.2108582654,20.141727283,19.6772603876,17.7558434778,19.4100668959,17.8988168156,16.8589685981,24.1304061882,12.6153279545,13.2397311462,20.9189083419,26.28942443,14.6240338435,15.1166176288,20.3165183883,21.051771152,17.8270928054,24.4306264977,13.9350244053,91.5595409866
