B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.57662	0.00931	0.1868	0.22727
V2	0.21393	0.12098	0.04815	0.61694
V3	0.08661	0.63537	0.02248	0.25553
V4	0.85957	0.12015	0	0.02029
V5	0.13002	0.47798	0.2755	0.1165
V6	0.10644	0.83165	0.05515	0.00676
V7	0.18136	0.38381	0.09181	0.34301
V8	0.15523	0.03581	0.79552	0.01344
V9	0.28459	0.26464	0.03193	0.41884
V10	0.04482	0.04459	0.87582	0.03477
V11	0.21571	0.35097	0.43331	0
V12	0.04219	0.57051	0.3873	0
V13	0.29037	0.68056	0.02896	0.00012
V14	0.09778	0.8657	0.03652	0
V15	0.14378	0.59176	0.14738	0.11708
V16	0.87696	0.04709	0.03925	0.0367
V17	0.11666	0.8342	0.04257	0.00656
V18	0.57684	0.34199	0.06343	0.01774
V19	0.1846	0.78326	0.03214	0
V20	0.20038	0.48107	0.02326	0.29529
V21	0.15472	0.0907	0.74529	0.0093
V22	0.05569	0.12807	0.22051	0.59573
V23	0.38416	0.05925	0.55658	0
V24	0.90972	0.03192	0.05836	0
V25	0.37067	0.25572	0.13789	0.23572
V26	0.41896	0.39411	0.02447	0.16245
V27	0.17922	0.09769	0.00934	0.71375
V28	0	0.09115	0.90885	0
V29	0.44865	0.04513	0.49934	0.00688
V30	0.13081	0.24581	0.28969	0.33369
V31	0.23102	0.21655	0.30648	0.24594
V32	0.1646	0.05842	0.04043	0.73655
V33	0.06264	0.50009	0.37456	0.06272
V34	0.15461	0.07105	0.7631	0.01124
V35	0.18587	0.69235	0.11678	0.005
V36	0.03407	0.07283	0.49311	0.39999
V37	0.56814	0.07832	0.10824	0.2453
V38	0.46904	0	0.18938	0.34158
V39	0.18815	0.55692	0.15518	0.09975
V40	0.11542	0.77266	0.11193	0
V41	0.02365	0.68547	0.07306	0.21782
V42	0.27514	0.04588	0.22341	0.45557
V43	0.15094	0.3489	0.50016	0
V44	0.03233	0.11368	0.72979	0.1242
V45	0.11947	0.57819	0.24708	0.05527
V46	0.78222	0.07388	0.1439	0
V47	0.45516	0.20072	0.32567	0.01845
V48	0.8011	0.16843	0.01693	0.01354
V49	0.74248	0.1908	0	0.06672
V50	0.08939	0.7872	0.12341	0
V51	0.32597	0.39725	0.27678	0
V52	0.04759	0.14671	0.79078	0.01492
V53	0.7135	0.11783	0.16867	0
V54	0.42698	0.2013	0.37172	0
V55	0.25198	0.1529	0.25379	0.34134
V56	0.11875	0.03876	0.10974	0.73274
V57	0.12536	0.81932	0.05532	0
V58	0.67159	0.00505	0.05236	0.27101
V59	0.44493	0.40389	0.12993	0.02126
V60	0.16473	0.18139	0.33953	0.31434
V61	0.80211	0.10825	0.01782	0.07181
V62	0.85662	0.03853	0.09466	0.01018
V63	0.03786	0.79483	0.16424	0.00306
V64	0.03562	0.85593	0.00929	0.09916
V65	0.08086	0.01253	0.1409	0.76571
V66	0.24067	0.6754	0.04326	0.04068
V67	0.1661	0.33185	0.50206	0
V68	0.2215	0.1821	0.01006	0.58634
V69	0.04128	0.33088	0.60852	0.01933
V70	0.54723	0.16174	0.19788	0.09315
V71	0.20087	0.09624	0.3894	0.31348
V72	0.58549	0.16774	0.10862	0.13815
V73	0.1756	0.60117	0.16853	0.05469
V74	0.06797	0.2367	0.69532	0
V75	0.71148	0	0.21443	0.0741
V76	0.01746	0.2143	0.20346	0.56478
V77	0.0845	0.32944	0	0.58606
V78	0.34393	0.1355	0.1995	0.32107
V79	0.0199	0.13782	0.78212	0.06016
V80	0.36923	0.03791	0.53606	0.0568
V81	0.07569	0.18582	0.73849	0
V82	0.00044	0.11153	0.8841	0.00392
V83	0.18853	0.20985	0.07724	0.52438
V84	0.43463	0.05679	0.17743	0.33115
V85	0.12956	0.3335	0.41209	0.12485
V86	0.07226	0.08983	0.81356	0.02436
V87	0.05879	0.80204	0.09562	0.04356
V88	0.21127	0.08245	0.28639	0.41989
V89	0.07477	0.04402	0.22202	0.65918
V90	0.05498	0.8437	0.10132	0
V91	0.05617	0.71268	0.22464	0.00651
V92	0.47294	0.03477	0.39167	0.10062
V93	0.88866	0.0194	0	0.09194
V94	0.04865	0.48166	0.02854	0.44115
V95	0.27899	0.43585	0.17829	0.10687
V96	0.14628	0.14527	0.01691	0.69154
V97	0.67086	0.10613	0.22301	0
V98	0.70194	0.29657	0	0.00149
V99	0.78217	0.04812	0.16971	0
V100	0.10477	0.06637	0.82042	0.00844
V101	0.10266	0.10365	0	0.79369
V102	0.90059	0.06174	0.01749	0.02019
V103	0.06302	0.08514	0.11344	0.7384
V104	0.0647	0.89632	0.03898	0
V105	0.08816	0.86378	0.04806	0
V106	0.14159	0.50932	0.34277	0.00631
V107	0.20656	0.2236	0.55258	0.01726
V108	0.16366	0.71008	0.12626	0
V109	0.02851	0.19635	0.59375	0.18138
V110	0.08549	0.82924	0.07817	0.0071
V111	0.89321	0	0.10197	0.00482
V112	0.165	0.0903	0.44094	0.30376
V113	0.23754	0.13214	0.19229	0.43803
V114	0.30673	0.06594	0.09066	0.53668
V115	0.02142	0.71905	0.25953	0
V116	0.16423	0.3303	0.38073	0.12474
V117	0.67564	0.25126	0.05162	0.02148
V118	0.19252	0.58296	0.0515	0.17303
V119	0.18418	0.11352	0.052	0.6503
V120	0.10339	0.10754	0.78907	0
V121	0.60701	0.13707	0.10843	0.1475
V122	0.91272	0.00928	0.04465	0.03335
V123	0.02919	0.54337	0.06355	0.36389
V124	0.67071	0.29019	0	0.0391
V125	0.39645	0.40576	0.19779	0
V126	0.09396	0.1908	0.05371	0.66153
V127	0.21368	0.07106	0.2765	0.43877
V128	0.10041	0.04206	0.13385	0.72368
V129	0.57683	0.23515	0.18266	0.00536
V130	0.02056	0.63001	0.34943	0
V131	0.05497	0.87907	0.0141	0.05185
V132	0.89865	0.0032	0.06209	0.03606
V133	0.88168	0.01766	0.08296	0.0177
V134	0.14117	0.4175	0.1458	0.29553
V135	0.14011	0.04489	0.20005	0.61495
V136	0.28277	0.42133	0.01078	0.28512
V137	0.64903	0.04302	0.26216	0.04579
V138	0.23578	0.41238	0.1988	0.15305
V139	0.37603	0.22383	0.21071	0.18943
V140	0.09129	0.13435	0.0623	0.71207
V141	0.08668	0.19059	0.54243	0.1803
V142	0.77879	0	0.22121	0
V143	0.45547	0.27697	0.07724	0.19032
V144	0.2127	0.18663	0.18239	0.41828
V145	0	0.73498	0.26502	0
V146	0.1489	0.04312	0.0532	0.75477
V147	0.88448	0.02794	0.04139	0.04619
V148	0.15633	0.10672	0.57585	0.1611
V149	0.27031	0.491	0.23869	0
V150	0.10843	0.26861	0.57904	0.04392
V151	0.23339	0.61935	0.05661	0.09066
V152	0.25245	0.44392	0.24102	0.06262
V153	0.13581	0.7381	0.04353	0.08256
V154	0.26024	0.44965	0.29011	0
V155	0.47996	0.15905	0.29599	0.065
V156	0.05119	0.17858	0.67979	0.09044
V157	0.32847	0.17943	0.32209	0.17001
V158	0.1062	0.01081	0.08629	0.7967
V159	0.87532	0.07621	0	0.04847
V160	0.71359	0.00238	0.08268	0.20134
V161	0.28661	0.02358	0.04138	0.64843
V162	0.10648	0.33954	0.09297	0.46101
V163	0.12206	0.50382	0.19312	0.181
V164	0.36613	0.3252	0.11838	0.19029
V165	0.05502	0.30616	0	0.63883
V166	0.0572	0.14595	0.08438	0.71247
V167	0.41819	0	0.01326	0.56855
V168	0.30562	0.557	0.10778	0.0296
V169	0.25901	0.08546	0.0397	0.61583
V170	0.14091	0.05357	0.53212	0.27341
V171	0.15241	0.26574	0.57439	0.00746
V172	0.71059	0	0.28941	0
V173	0.0823	0.19274	0.04535	0.6796
V174	0.06037	0.21124	0.08673	0.64166
V175	0.09273	0.04467	0.77416	0.08844
V176	0.02356	0.77005	0.20638	0
V177	0.04224	0.92998	0.01286	0.01491
V178	0.03138	0.76983	0.02911	0.16967
V179	0.206	0.03457	0.39843	0.361
V180	0.04872	0.83407	0.11721	0
V181	0.18697	0.16316	0.53309	0.11678
V182	0.31523	0.2032	0.45503	0.02653
V183	0.20037	0.7652	0.03443	0
V184	0.94577	0	0.05423	0
V185	0.57178	0.3941	0.03412	0
V186	0.1409	0.48441	0.28455	0.09014
V187	0.911	0.00893	0.06548	0.01459
V188	0.10965	0.26971	0	0.62063
V189	0.81846	0.02262	0.03063	0.1283
V190	0.64964	0.02138	0.32898	0
V191	0.20706	0.2334	0.55303	0.00651
V192	0.32652	0.47145	0.06674	0.13528
V193	0.60836	0.0419	0.25395	0.09578
V194	0.06979	0.88349	0.03387	0.01285
V195	0.04454	0.08037	0.86832	0.00676
V196	0.07502	0.14003	0.00783	0.77712
V197	0.46623	0.06667	0.02569	0.44141
V198	0.08624	0.50531	0.38298	0.02547
V199	0.22376	0.04837	0.19598	0.53189
V200	0.16157	0.57955	0.03048	0.2284
V201	0.11926	0.55576	0.21672	0.10826
V202	0.04058	0.06664	0.76119	0.1316
V203	0.18074	0.42522	0.39404	0
V204	0.03945	0.56908	0.0127	0.37877
V205	0.0461	0.10568	0.84127	0.00694
V206	0.07036	0.13567	0.79397	0
V207	0.18895	0.23189	0.05401	0.52516
V208	0.26311	0.09572	0.64117	0
V209	0.32483	0.47113	0.08681	0.11722
V210	0.11204	0.7345	0.12886	0.02459
V211	0.47642	0.02522	0.04022	0.45813
V212	0.5094	0.05937	0.43047	0.00077
V213	0.65287	0.03539	0.12864	0.1831
V214	0.36241	0.18535	0.17852	0.27372
V215	0.3521	0.1301	0.00928	0.50852
V216	0.13925	0.00598	0.07045	0.78432
V217	0.06333	0.50797	0.25729	0.17142
V218	0.12319	0.46742	0.19047	0.21893
V219	0.13744	0.64622	0.02531	0.19104
V220	0.03114	0.81941	0.03392	0.11553
V221	0.82255	0.00673	0.01237	0.15835
V222	0.33487	0.15963	0.37082	0.13469
V223	0.02016	0.18376	0.74634	0.04973
V224	0.9362	0	0.0638	0
V225	0.08242	0.81981	0.09777	0
V226	0.3151	0.10958	0.57533	0
V227	0.78047	0	0.21721	0.00232
V228	0.76505	0.07208	0.08515	0.07772
V229	0.04758	0.07289	0.86056	0.01896
V230	0.08809	0.08249	0.04599	0.78343
V231	0.04607	0.32588	0.12494	0.50311
V232	0.07669	0.67725	0	0.24606
V233	0.57032	0.10229	0.21606	0.11132
V234	0.06847	0.85862	0.07199	0.00091
V235	0.3863	0.08737	0.52248	0.00386
V236	0.06898	0.11497	0.76567	0.05037
V237	0.23908	0.02762	0.04662	0.68669
V238	0.15242	0.545	0.28563	0.01695
V239	0.10665	0.4411	0.02053	0.43172
V240	0.49374	0.05818	0.42477	0.02331
V241	0.04344	0.04968	0.86314	0.04374
V242	0.15057	0.72147	0.12796	0
V243	0.26035	0.07437	0.61709	0.04819
V244	0.23104	0.02815	0.6849	0.05591
V245	0.5997	0.29538	0.06891	0.036
V246	0.0796	0.18958	0.73082	0
V247	0.17504	0.06098	0.76398	0
V248	0.09418	0.07827	0.07018	0.75737
V249	0	0.09471	0.85543	0.04986
V250	0.75736	0	0.24264	0
V251	0.91209	0.05513	0.0217	0.01109
V252	0.02369	0.79003	0.18627	0
V253	0.40142	0.08899	0.17858	0.33101
V254	0.0327	0.87077	0.09653	0
V255	0.07916	0.88624	0.00932	0.02528
V256	0.19622	0.24141	0.50918	0.05319
V257	0.44221	0.11988	0.2479	0.19002
V258	0.19717	0.28778	0.42709	0.08796
V259	0.05402	0.32099	0.61539	0.0096
V260	0	0.3095	0.6905	0
V261	0.62221	0.03859	0.21668	0.12251
V262	0.17682	0.10708	0.00803	0.70807
V263	0.05118	0.91778	0.01235	0.01869
V264	0.19904	0.06597	0.44057	0.29442
V265	0.09795	0.01703	0.17045	0.71457
V266	0.64576	0.32899	0.02525	0
V267	0.00624	0.22483	0.30965	0.45929
V268	0.4291	0.03483	0.15925	0.37682
V269	0.0199	0.55754	0.40529	0.01727
V270	0.64203	0.03244	0.26257	0.06296
V271	0.79357	0.07192	0.04671	0.08779
V272	0.08287	0.80493	0.03731	0.07489
V273	0.14127	0.05994	0.05663	0.74216
V274	0.70589	0	0.20495	0.08916
V275	0.00219	0.0846	0.89559	0.01762
V276	0.5201	0.34303	0.01648	0.12039
V277	0.07041	0.24998	0.17747	0.50215
V278	0.07791	0.09422	0.3103	0.51757
V279	0.68931	0.06427	0.13054	0.11588
V280	0.1062	0.01081	0.08629	0.7967
V281	0.56697	0.0391	0.15732	0.23661
V282	0.08066	0.11483	0.76941	0.0351
V283	0.23431	0.57387	0.08341	0.1084
V284	0.05395	0.84482	0.10123	0
V285	0.09245	0.04647	0.86108	0
V286	0.26466	0.53722	0.13436	0.06377
V287	0.12641	0.82504	0.04272	0.00583
V288	0.03001	0.31476	0.43822	0.217
V289	0.29499	0.24229	0.41932	0.04341
V290	0.81571	0.15064	0.03365	0
V291	0.48391	0.08676	0.42934	0
V292	0.92146	0.01514	0	0.0634
V293	0.3118	0.04568	0.6284	0.01412
V294	0.12998	0.40025	0	0.46977
V295	0.04855	0.22048	0.20961	0.52136
V296	0.19724	0.15593	0.59231	0.05452
V297	0.15651	0.01219	0.1065	0.7248
V298	0.30463	0.12807	0.5673	0
V299	0.11808	0.32084	0.00371	0.55736
V300	0.02214	0.06696	0.26019	0.65071
V301	0.14324	0.15055	0.62556	0.08065
V302	0.6631	0.33654	0	0.00037
V303	0.00224	0.59597	0.39841	0.00339
V304	0.08045	0.06959	0.72546	0.12451
V305	0.14485	0.19512	0.46118	0.19885
V306	0.79126	0.09859	0.07007	0.04007
V307	0.04987	0.88726	0.05406	0.00882
V308	0.24972	0.25471	0.30687	0.18869
V309	0.36439	0.33592	0.02617	0.27352
V310	0.10935	0.34993	0.16679	0.37393
V311	0.52128	0.45298	0.02574	0
V312	0.12066	0.7035	0.17585	0
V313	0.03132	0.16909	0.02686	0.77272
V314	0.03638	0.50813	0.12995	0.32554
V315	0.14764	0.62605	0.05446	0.17185
V316	0.32314	0.16093	0.39038	0.12555
V317	0.11276	0.68906	0.0715	0.12669
V318	0.06923	0.58018	0.0191	0.33149
V319	0.08294	0.10838	0.79465	0.01402
V320	0.09724	0.18208	0.62936	0.09132
V321	0.63579	0.33878	0.02543	0
V322	0.22975	0.3504	0.07713	0.34272
V323	0.12512	0.05183	0.11157	0.71148
V324	0.65404	0.2533	0.09065	0.002
V325	0.31288	0.60323	0.08389	0
V326	0	0.58988	0.12017	0.28995
V327	0.05967	0.19025	0.11818	0.63189
V328	0.07022	0.07116	0.72593	0.13269
V329	0.21603	0.14382	0.18262	0.45753
V330	0.41111	0.02493	0.34677	0.21719
V331	0.39071	0.11235	0.04497	0.45198
V332	0.05051	0.08833	0.20338	0.65778
V333	0.42823	0.09505	0.39478	0.08194
V334	0.3766	0.02689	0.36849	0.22802
V335	0.03899	0.35988	0.51087	0.09026
V336	0.19905	0.68399	0.04183	0.07512
V337	0.29266	0.39983	0.30752	0
V338	0.00052	0.9263	0.0581	0.01507
V339	0.14295	0.03788	0.81916	0
V340	0.07249	0.2609	0.52293	0.14368
V341	0.08926	0.07435	0.08809	0.74829
V342	0.26476	0.02484	0.61059	0.09982
V343	0.92152	0.03141	0.02644	0.02062
V344	0.65551	0.14908	0.19541	0
V345	0.04773	0.08303	0.86924	0
V346	0.25933	0.14256	0.29449	0.30363
V347	0.1085	0.03841	0.15112	0.70198
V348	0.07479	0.64454	0.17185	0.10882
V349	0.3514	0.18855	0.3881	0.07195
V350	0.04106	0.75611	0.20283	0
V351	0.05263	0.0693	0.40997	0.46809
V352	0.07149	0.0647	0.81208	0.05173
V353	0.85728	0.0242	0.05628	0.06224
V354	0.06562	0.6699	0.25205	0.01243
V355	0.29017	0.10358	0.46235	0.1439
V356	0.09957	0.05524	0.12232	0.72287
V357	0.13362	0.35464	0.29235	0.21939
V358	0.56013	0.11935	0.05619	0.26433
V359	0.59417	0.06795	0.03737	0.30051
V360	0.54766	0.41028	0.04207	0
V361	0	0.45279	0.54721	0
V362	0.00309	0.91739	0.06826	0.01127
V363	0.19092	0.15151	0.46838	0.1892
V364	0.17606	0.10129	0.65914	0.06352
V365	0.32661	0.05009	0.0077	0.6156
V366	0.10041	0.6708	0.11188	0.11691
V367	0.59172	0.15465	0	0.25363
V368	0.11118	0.70756	0.1161	0.06516
V369	0.02903	0.40421	0.56676	0
V370	0.30297	0.28791	0.40912	0
V371	0.20855	0.69682	0.05403	0.0406
V372	0.21742	0.08361	0.13305	0.56592
V373	0.10224	0.17771	0.47484	0.24521
V374	0.75904	0.01483	0.22612	0
V375	0.09877	0.07415	0.16219	0.66489
V376	0.09675	0.06797	0.11915	0.71613
V377	0.79896	0	0.01875	0.18229
V378	0.03877	0.07106	0.42151	0.46867
V379	0.37512	0.22534	0.0017	0.39784
V380	0.19477	0.10435	0.21423	0.48665
V381	0.7333	0.01226	0.11277	0.14168
V382	0.10329	0.07857	0.81814	0
V383	0.8232	0	0.0726	0.1042
V384	0.56172	0.0905	0.14668	0.2011
V385	0.83283	0.01291	0.10256	0.0517
V386	0.34469	0.02898	0.16267	0.46366
V387	0.57335	0.16053	0.20746	0.05866
V388	0.37925	0.34025	0.1621	0.1184
V389	0.42454	0.50667	0.02763	0.04117
V390	0.2904	0.26265	0.44696	0
V391	0.45503	0.12879	0.01093	0.40525
V392	0.428	0.2397	0.17913	0.15317
V393	0.28868	0.25133	0.3545	0.10549
V394	0.13312	0.26408	0.1234	0.47939
V395	0.23602	0.4028	0.2188	0.14238
V396	0.03513	0.90255	0.04258	0.01975
V397	0.75589	0.0912	0.12551	0.02741
V398	0.46315	0.15707	0.10568	0.2741
V399	0.20954	0.54329	0.17582	0.07135
V400	0.00527	0.60685	0.08907	0.29882
V401	0.05164	0.19828	0.7009	0.04917
V402	0.77999	0.16388	0.05613	0
V403	0.09113	0.06079	0.09972	0.74837
V404	0.10795	0.23036	0.59933	0.06236
V405	0.26714	0.05599	0.18404	0.49283
V406	0.63729	0.25679	0.02612	0.0798
V407	0.00052	0.9263	0.0581	0.01507
V408	0.10961	0.27674	0.4051	0.20855
V409	0.03726	0.07331	0.07031	0.81911
V410	0.11598	0.81519	0.0649	0.00393
V411	0.48476	0.01598	0	0.49926
V412	0.18133	0.11174	0.49912	0.20781
V413	0.07714	0.50108	0.20307	0.21871
V414	0.05091	0.51326	0.34707	0.08877
V415	0.45985	0.047	0.24792	0.24523
V416	0.02946	0.12323	0.84731	0
V417	0.38659	0.58332	0.03009	0
V418	0.12058	0.14209	0.1559	0.58143
V419	0.09865	0.00834	0.09677	0.79623
V420	0	0.87202	0.05614	0.07184
V421	0.17626	0.0794	0.66257	0.08177
V422	0.12752	0.12267	0	0.74981
V423	0.10477	0.06637	0.82042	0.00844
V424	0	0.099	0.63193	0.26907
V425	0.07265	0.2717	0.58412	0.07153
V426	0.11332	0.09204	0.7542	0.04044
V427	0.09081	0.4209	0.21088	0.27741
V428	0.11231	0.74119	0.08769	0.05881
V429	0.09263	0.01913	0.09774	0.7905
V430	0.73851	0.17496	0.02685	0.05967
V431	0.20908	0.0563	0.45952	0.2751
V432	0.17154	0.13474	0.05132	0.6424
V433	0.08436	0.74171	0.00281	0.17111
V434	0.37911	0.10308	0.05533	0.46248
V435	0.5319	0.01934	0.13726	0.31149
V436	0.42036	0.02428	0.13073	0.42463
V437	0.27601	0.25908	0	0.46491
V438	0.61268	0.1762	0.03714	0.17397
V439	0.10118	0.15768	0	0.74113
V440	0.51611	0.05288	0.03737	0.39364
V441	0.08651	0.17149	0.58891	0.15309
V442	0.32948	0.35749	0.15142	0.1616
V443	0.74223	0.00232	0.11299	0.14246
V444	0.04773	0.08303	0.86924	0
V445	0.60365	0.03155	0.35513	0.00967
V446	0.05823	0.79526	0.09422	0.05229
V447	0.61473	0.10851	0.19747	0.0793
V448	0.06073	0.10741	0.21082	0.62104
V449	0.55324	0.05688	0.31212	0.07775
V450	0.15693	0.79627	0.0468	0
V451	0.90432	0.06419	0	0.03149
V452	0.10867	0.04242	0.10345	0.74546
V453	0.78315	0.08055	0.08827	0.04803
V454	0.00193	0.88358	0.10291	0.01158
V455	0.58906	0.04783	0.31955	0.04356
V456	0.33405	0.14979	0.39012	0.12604
V457	0.037	0.10466	0.03672	0.82162
V458	0.30779	0.25677	0	0.43544
V459	0.03201	0.76865	0.13199	0.06735
V460	0.90327	0.00553	0.06375	0.02744
V461	0.15043	0.09049	0.00306	0.75601
V462	0.3788	0.26335	0	0.35785
V463	0.2652	0.47278	0.18098	0.08104
V464	0.53591	0.11766	0	0.34643
V465	0.41315	0.43087	0.03753	0.11845
V466	0.59461	0.20399	0	0.2014
V467	0.32616	0.55311	0.10874	0.01198
V468	0.49768	0.39766	0.07202	0.03263
V469	0.04186	0.22225	0.3035	0.4324
V470	0.5401	0.14217	0.19748	0.12024
V471	0.31635	0.1413	0.03096	0.51139
V472	0.35108	0.34592	0	0.30299
V473	0.11676	0.53259	0.35065	0
V474	0.18958	0.00355	0.13658	0.67028
V475	0.2119	0.42067	0.09217	0.27526
V476	0.23265	0.03965	0.07187	0.65582
V477	0.59402	0.05111	0.22553	0.12935
V478	0.16167	0.59777	0.01231	0.22825
V479	0.0305	0.13658	0.77257	0.06035
V480	0.12101	0.34794	0.04982	0.48123
V481	0.16341	0.06249	0.7741	0
V482	0.6749	0.17073	0.1343	0.02006
V483	0.18505	0.15011	0.08002	0.58482
V484	0.08823	0.12646	0.03343	0.75187
V485	0.14703	0.72188	0.03223	0.09886
V486	0.2937	0.29245	0.13982	0.27403
V487	0.14103	0.08329	0.10117	0.67451
V488	0	0.05235	0.86759	0.08006
V489	0.22122	0.13681	0.64196	0
V490	0.35943	0.33656	0.07702	0.22699
V491	0.44626	0.45959	0.05368	0.04047
V492	0.04617	0.78371	0.17013	0
V493	0.15977	0	0.00499	0.83524
V494	0.20828	0.19133	0.51146	0.08893
V495	0.2365	0.59464	0.16886	0
V496	0.29399	0.67136	0.00928	0.02537
V497	0.04674	0.04752	0.89598	0.00976
V498	0.35698	0.13619	0.0541	0.45274
V499	0.59299	0.26238	0.14463	0
V500	0.12264	0.16638	0.6968	0.01418
V501	0.04069	0.02327	0.11261	0.82343
