Gene	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
ABCA5	27.65254384	32.71537791	18.35739316	10.10510825	73.07646838	63.34601174	26.22902496	43.08169689	48.07726769	25.20067931	24.63089669	24.96150249	29.59769478	25.89600813	79.50603251	39.50528962	26.24504449	25.80346609	38.17628543	39.97198466
ABCB1	72.40094318	22.47143424	13.46795258	10.76767912	119.9083196	145.813992	23.32784129	34.89057521	57.4775539	25.32911022	15.4641323	13.56698818	17.73919118	20.12920591	9.894062673	64.56254989	48.18348373	16.53728547	14.96364506	24.63094656
ABHD5	24.3727958	31.07959107	62.87856759	62.18461702	72.5112559	39.96361029	160.3476733	42.79990627	32.9409149	42.27956334	108.2592294	85.51079003	36.50364596	305.9038895	45.14522841	37.270202	29.43526135	48.10861369	20.91145325	43.05606653
ACSM3	22.07819592	21.2418919	16.67459145	20.60276156	15.92140434	22.37620719	26.25922365	28.55981184	26.57111106	19.4008541	17.93519339	17.67975881	141.2194725	29.87160081	32.40856344	16.13130007	64.50549273	16.49207962	23.35575398	25.03972973
ADAM19	144.9819635	101.2328466	59.01350143	25.44391341	24.42580812	27.9261372	83.5209787	75.92887949	40.25628181	27.3222873	36.51258648	33.11254006	17.35817639	101.6320192	238.4446642	54.9048683	25.08670694	71.16534465	78.25572265	50.67043957
ADAMTS5	15.66398178	13.96944867	21.41203046	7.78094087	16.79854615	15.14422042	16.4108195	13.76146115	11.28362184	10.37868312	10.08104073	9.472767629	14.13214513	9.32392941	25.86657622	10.71696782	8.144641471	12.47631168	14.91773813	17.53468599
ADI1	112.1409261	167.6288389	175.2336386	280.8209024	91.49760617	66.98540878	121.6727995	101.8592764	65.15642518	277.9636174	48.6164936	79.64399844	228.9448609	70.23462831	429.7643981	154.0195244	506.4890763	95.08737092	283.591945	96.22119979
AGPAT5	89.40214232	69.73067492	60.87478447	34.47735961	37.83463227	42.97780169	26.83427525	59.89600371	61.08871209	118.0549601	50.09999641	42.497776	138.7742909	62.64211864	29.54638318	103.1050946	225.8209591	33.00680932	42.1446658	37.62545468
ALAS1	51.99389586	64.55514086	72.48116293	49.81667919	71.54162959	49.93391614	74.65606303	50.16653962	54.23151819	135.2532938	87.28358498	64.27306893	91.27615234	54.99599939	116.3976747	227.1153441	109.9144219	69.64803883	63.55001977	36.41484136
ALPL	31.64772986	23.76649011	20.88843275	16.18382052	17.36986688	19.6829952	176.0861151	20.80671187	19.43641224	22.73113938	16.65011393	16.25946631	12.22489089	13.35220537	10.61014851	16.52138343	11.66865251	16.42264683	20.90353578	32.38827584
ANK3	16.51013453	36.29423632	20.03764164	20.57222053	20.94517799	23.28151784	26.18605714	43.88988792	33.51073807	19.37374939	17.38314033	16.62370163	21.7143107	32.72533487	17.4845948	43.28046968	21.14351397	28.88122094	18.28253091	71.2294607
ANXA3	11.00668704	14.0431161	16.37089503	10.75834841	11.56022621	20.11809261	221.1816545	13.85315913	12.25311574	23.25972175	11.54270189	8.375525947	20.35884879	44.42098038	16.05938555	10.93511921	43.31532695	24.77957284	14.94848295	21.9470387
AOC2	24.4228892	18.54789364	18.72844432	24.89458903	22.78536769	22.60797111	64.04785504	21.76573172	16.96851796	21.09856905	20.52143482	18.40085168	23.61408741	24.21830845	22.55325487	21.00701081	10.88793556	18.2120567	23.51625091	23.39956011
APOBEC3A	15.73916248	13.56435949	201.2817119	214.1637925	48.43997346	35.09732435	462.7379985	37.09789964	22.59562829	65.70848719	263.1316113	37.61270769	16.08041967	112.7110827	121.9536509	25.00409233	30.12657566	30.41562962	16.35987172	19.93190597
APOBEC3G	143.0002148	112.6783964	73.85765913	128.7099391	162.7945508	123.7862552	72.05457644	77.58580926	148.213874	49.19774249	114.3120673	47.07850749	49.66234717	60.10888615	31.54247368	115.9710513	90.61017686	97.19119231	60.37382298	108.0505862
APOE	20.22094045	21.08660236	15.88414505	13.18975898	32.42902601	19.79474332	19.72990024	21.42623913	18.7958049	538.8582994	770.9806357	468.9857841	28.71268263	11.31623289	20.79974481	13.59420929	46.36463373	30.97087462	21.62795671	41.55509131
ARID4A	88.78179444	70.07768572	57.56405682	74.41107817	357.439316	70.01164907	131.7498766	73.93563844	91.26360696	38.90007583	62.11480645	77.44760865	43.11721097	94.85529853	202.3558236	74.53505164	87.16126144	88.47700703	33.69142284	32.55444706
ARNT2	9.173492373	10.10222634	13.19481679	12.86790715	12.63489844	14.6277663	15.61898998	13.88456719	12.27067936	21.75714977	16.37419888	9.575316709	18.56252432	14.98143848	8.278741684	7.741324362	15.99335892	19.93476041	19.14479479	146.934312
ASGR1	15.04568781	13.57953452	140.6002952	272.6300423	25.38788984	17.03981954	26.22434895	36.8322243	25.50630738	53.40187101	81.90227162	96.54720173	25.41433393	21.62674893	12.488611	8.158053736	28.06320383	58.38033963	14.23758942	21.38772575
ASGR2	15.22924711	14.18564083	142.2593104	51.10434118	25.79322893	19.56040718	26.82691992	31.08651798	21.3362284	16.99952709	30.6919869	66.22253818	25.97519797	16.72404033	12.89357751	12.38968859	31.62956787	60.04554326	18.65142354	13.9061464
ASRGL1	26.04405497	29.11637674	74.41184801	68.92805486	30.26759319	24.38269203	55.15984363	25.0296369	25.8688013	145.3143632	31.97068679	45.72237243	68.67495229	98.71850972	114.8737546	28.70637624	105.5980797	27.16482672	67.12242351	25.84074257
ATP2A1	17.039793	20.0586516	14.15964269	11.77383169	12.2784131	19.76963557	18.43615527	17.03671199	17.74000641	17.18824817	14.15315218	13.16660461	19.51486665	12.23729981	11.38194017	15.60252047	10.26771977	15.50114982	21.67697528	65.42703291
ATP2B1	71.14059348	123.2892594	88.35646159	109.4531558	302.7934343	52.51203328	194.1341892	68.62920333	76.49565348	25.32615385	40.32151962	63.08404678	50.90737014	63.11491981	97.14080659	81.75139744	81.95903185	101.9942212	29.31912777	23.98188567
BEX1	24.407666	20.03982448	22.88234569	20.72225635	17.05441254	25.42560403	57.47984179	30.14888907	28.77196737	24.37833443	18.21061222	16.86005784	79.55138929	45.84157141	31.55427749	25.77631628	426.8837476	22.41229633	31.49768002	18.35054589
BMX	17.93838896	12.96852836	16.51154051	16.44280958	10.7060699	16.44274957	76.41661524	13.5906409	12.19180263	21.59574956	14.97872715	13.81116863	14.96983944	31.58906682	17.97171612	9.550780287	15.94624809	16.64038921	19.75556539	28.43047716
C1QA	15.2137183	14.76883311	37.02531702	191.8128134	20.81582785	16.79735675	18.49192202	20.01536479	15.08335384	217.7480755	183.4545267	174.3966666	28.94467098	26.41830258	13.94383252	13.09544854	66.13687178	49.53825566	39.76216347	42.50932848
C1QB	16.17390602	14.14248512	32.67137278	132.2318013	19.97944495	18.78393912	22.05311091	22.53482389	14.09155468	205.1247813	760.9798947	415.5917569	23.70059645	9.389306711	20.56156613	18.31390553	68.51461143	50.60506888	34.81549057	22.47742164
CA4	15.64649604	19.01970869	20.27253025	24.56942294	23.15458511	20.40647402	155.6536834	21.25708898	21.46462211	35.90771464	23.7859348	24.44003766	12.65611421	33.0261369	30.35354792	16.82187414	14.84432826	21.98809017	15.13338662	33.57916104
CACNA2D3	11.42371438	10.8360074	93.22181405	40.96403246	20.09195691	19.84110691	15.53281947	22.5188412	13.16436291	27.82381992	14.99606335	16.45716959	11.71001508	8.649551151	15.24570132	15.91675651	20.80470299	46.40750813	8.620160171	20.49534201
CALB2	15.72169716	15.96472373	21.30928887	18.12887543	18.00552859	26.81090887	35.26255749	18.59129268	19.87490217	15.27130719	19.91848505	17.7729197	501.9890558	20.07381208	10.47431783	26.83272261	16.1464061	28.15091267	30.55816386	22.52732774
CALML4	20.00346751	25.99601202	69.76988417	98.79595346	31.63508288	32.30542805	35.78537502	41.21755074	27.80484312	34.41947919	52.95317224	61.12603224	20.56217589	42.86115454	13.28200346	25.32031258	27.94308598	41.91611761	41.0223297	25.34566941
CAMK4	20.42454687	22.83113204	13.61871375	14.23668613	20.32190321	22.49724397	27.89583702	96.27289609	102.3916375	20.05554396	10.56839706	9.461181918	12.40498279	12.89652259	14.63295863	57.99161959	8.447203235	14.92806774	18.2344761	11.72607436
CASP1	105.0689198	120.6133413	447.3547393	368.5228716	197.4982858	130.713996	261.4303162	95.6656882	137.9322676	31.96773757	227.5596945	128.4629018	38.81214512	153.0446643	155.7097021	180.3195319	115.8189521	197.8247827	76.88369234	14.66644723
CCR2	19.00474159	51.9703203	164.8844845	30.26527069	14.50738251	26.65849444	37.59234752	37.09747742	33.32338084	20.93589269	19.01126528	26.25299852	18.72485457	55.95017743	39.94294209	62.54041889	23.78619377	33.23382871	151.1572494	26.65772559
CCR3	14.09821024	13.78972973	19.68759621	14.3091728	12.74336115	19.72972584	191.3051261	20.64599527	18.54862461	30.16886138	13.94413427	15.4108147	18.58927077	208.7621736	764.795397	19.60767921	13.91652403	14.484536	16.01964826	25.82138171
CD14	13.03470303	12.33865012	1218.860842	463.3632383	25.5034078	52.59279623	507.3370401	79.32804724	23.98487955	358.8404586	1312.160328	544.1119381	34.1052756	34.16454843	12.67429257	8.768489236	64.76311513	125.5859986	23.81734124	23.95559717
CD160	40.33863307	28.09286941	17.36454503	18.28204557	339.5480771	228.6333483	31.86099671	26.362509	107.5091997	15.06127835	15.19920218	17.19124228	11.76558969	15.02812713	23.26493845	81.40938901	12.28939823	13.87699414	21.77602208	20.59503373
CD163	16.19808895	14.88014821	163.3935432	51.96713433	12.73782387	29.06719361	32.61023753	29.82903342	15.59216713	288.057151	323.4254145	326.2520053	21.58545119	17.06059844	17.70782944	9.699400276	52.12490335	62.39034323	21.01716777	18.97862073
CD19	609.4336482	351.2050872	26.01399832	20.27836633	22.86220116	21.85607593	32.72808579	29.56456171	22.80905766	48.44663646	30.03209343	30.37192664	37.47613836	13.25036125	19.92628772	13.82339962	32.28072885	17.86349351	46.45980047	17.45686494
CD1D	79.01917333	65.39589767	259.0274396	195.6537283	58.45514244	23.17765811	45.76226958	44.96635509	17.70077809	20.11579001	34.05154108	24.18475585	9.205693321	16.1154226	15.49035462	8.328022987	19.29834379	43.39328581	66.44712371	18.19694123
CD1E	15.33559914	12.26737803	24.63318601	25.27364261	16.89412918	17.78898014	20.6376571	19.32584328	14.55959089	20.77670613	22.47912363	79.39968852	24.64518164	24.47368941	13.07404473	12.00155287	14.45896959	92.71717121	12.60120001	32.36751777
CD207	15.53333696	16.02965862	17.82457166	20.78108778	12.53385202	14.29151449	29.96014983	17.79181553	15.82866592	24.59223817	11.73585459	15.36927499	18.32901676	17.30935805	9.852256876	14.96813293	12.20653211	68.26354301	20.17241697	22.42246003
CD209	21.56254956	20.14325391	26.15703426	24.71510312	20.19972167	25.06647389	32.4160258	21.51146378	19.51579738	139.454032	180.5670872	642.8425965	26.99457317	11.9136607	19.62469863	17.99729632	17.36243017	29.15665618	29.72742091	23.46686724
CD38	46.49312722	39.38034122	39.06925426	52.95135664	115.3197478	125.8897764	34.58489164	51.92997274	48.60534078	31.75590727	341.6290369	31.6031121	32.66918791	26.89102744	29.30041384	84.63123304	137.1233461	57.6072479	950.4930806	83.33182394
CD3D	18.3239829	18.91975563	33.2706942	23.30028159	56.33207797	61.59373792	53.17227136	494.4703693	989.4824596	9.849164833	19.44983925	16.65201198	13.40353639	15.83425914	27.1799675	1734.682633	26.45108604	22.40701778	31.49048723	36.93277181
CD3E	29.73323694	25.78064449	28.95306049	23.42789918	54.45066747	91.52059952	36.66548085	297.2120614	313.2516163	31.3083007	18.66376455	19.60410129	24.77985576	16.18721533	20.51554361	306.6140844	23.15110207	14.7189035	63.80930812	28.3558804
CD3G	15.60712541	17.21058276	20.03645029	17.36354073	52.72731285	47.09517542	28.2170751	292.0293503	510.882732	20.44379699	12.80079854	14.36849591	12.99498231	17.15376208	12.5597736	243.0701365	15.10575039	17.70971824	20.51743613	21.85780584
CD4	19.19212466	15.62770324	74.71613013	90.38242317	22.49857057	31.76919646	30.59162918	120.5657427	21.57350834	116.5693974	105.571924	152.7335159	15.19939798	13.17788496	23.73918168	11.81339338	27.55502571	36.8461118	18.98094741	35.20538514
CD40LG	15.79460802	14.01201873	21.31615184	23.73495307	9.46062923	32.18352396	22.2364027	111.2902917	27.33646483	16.3409779	13.37923277	13.92116058	22.83542235	11.09048525	14.26315148	47.08255527	30.54475315	14.19127964	22.23402357	45.88570131
CD79A	895.1168898	517.5152401	39.9746254	31.66153451	27.90374397	34.14135835	47.60436665	50.41894019	44.28348315	53.36758899	34.08679167	35.99041409	21.87083413	26.13806786	32.76710658	27.12536662	51.30205768	24.78062975	215.0423202	22.49512167
CD8A	23.00111779	21.07709964	31.29880096	17.30559764	120.3848475	229.3036515	67.59528421	36.46734199	1501.615502	23.92695816	18.0866491	18.98187466	30.60007243	18.26807565	24.91160991	75.74090796	24.00471412	28.04738504	30.56651269	21.24079235
CDC14B	19.24430534	26.7089239	24.9812427	15.03961235	26.28558395	39.46006237	30.77478769	38.47274641	32.80218	52.02326435	19.04031906	14.90420733	16.74022956	65.05475979	39.18723739	24.37040548	24.38993188	23.94902379	24.27532811	20.87910187
CDC42EP4	14.63394532	18.14435258	56.95588145	176.2484542	36.20271685	28.92054658	50.40495851	32.89870236	24.34291636	68.17939521	118.3100484	86.28357688	30.34282729	192.8707767	28.96534792	18.40212608	37.72680406	81.36766493	27.56864332	73.26641382
CDK2AP2	79.96578551	82.84374054	79.17889087	127.5647821	91.06704481	96.71705783	66.75074747	90.96733487	92.57625685	86.20174325	50.33727674	53.60228034	55.12886253	102.0826218	68.19894932	138.9557643	60.63995931	116.8573925	200.2386126	111.192351
CDKN1C	11.94415318	15.01240285	50.69993146	252.4298789	69.59857696	23.88454356	41.90888579	35.6694605	23.3895029	18.65952032	23.53831954	22.06692573	25.02656543	42.44485239	17.01544301	11.83437278	38.37157569	24.41862314	17.89645034	12.22791651
CDR2L	21.10128528	18.10701081	18.49745856	18.08663106	14.49003115	21.75356981	17.17150059	17.23269699	22.69165604	25.43652796	23.84420299	76.28792304	19.74885217	15.37376804	9.911058884	11.53944757	17.62017993	29.94768911	13.34049	27.8437879
CEACAM1	28.86537659	30.44887156	24.41622262	40.61338305	19.31639632	29.72704583	123.6176652	38.127995	28.09671178	43.50777536	32.49844753	24.81755137	46.65428278	211.6806767	74.6071348	35.26087552	22.95418007	16.55489017	40.70975278	39.09863787
CEACAM3	31.90201057	25.42246179	34.83319693	71.06498395	41.09400293	20.30278747	152.1991869	22.7043003	23.49801954	23.95285678	23.54745231	22.99462162	23.915222	23.09764107	18.83918595	27.07635838	21.91650669	21.48550787	41.57570378	25.40418322
CECR1	249.7297664	198.744684	539.8794125	430.3266894	250.3153376	137.215	58.311901	158.8272698	164.6530975	138.0167247	145.0883627	179.2025962	24.66682588	61.15747237	124.9344685	201.1132789	197.3157742	177.4315467	847.9428125	143.8594742
CES1	13.45248693	14.95624726	144.5041654	41.95228535	62.2735643	22.78794715	28.68559374	30.76289538	24.99168555	55.07078015	83.84816039	43.64794712	25.38659777	14.6385542	29.56379345	17.76260252	19.80146177	58.46034948	16.19596456	34.81281924
CETN1	24.89569218	19.44651507	21.40934038	24.73025365	8.912375355	23.7117837	32.83439425	19.10136596	18.70080591	24.63709035	13.7459945	15.42949224	24.74806031	17.85863713	17.08339269	21.39635027	16.20629452	16.62494245	43.21652336	30.67711824
CFB	12.14243627	15.87675184	28.72609254	28.78063147	17.66632268	17.6712456	18.74896887	17.22933389	15.26889001	40.03805154	468.5396626	64.50948728	12.27898032	18.73626432	14.33444023	10.98485615	20.02018292	38.26573644	20.85730385	20.26149238
CHMP7	268.4936	197.1089897	84.93018581	83.50421345	62.95640663	54.14817252	69.62981071	148.4095575	123.6590612	99.14819489	45.41445344	42.67464861	52.55792824	60.78987012	73.18738336	117.5180617	161.3755582	60.26114171	60.83518006	44.60127722
CHST7	12.19319564	16.8804582	86.82260992	294.5621389	81.58206851	33.75001634	186.5481955	60.49078753	43.81996773	146.8261925	129.464542	145.2959085	20.60427789	36.13637728	12.72287025	49.28401761	22.18176251	178.9400546	21.13654385	101.5312836
CIB2	21.04859498	24.70297591	22.83826695	23.86572785	11.2093524	20.82153048	22.58851136	24.67196308	26.02053088	21.16572619	24.88134138	20.90547855	23.3615131	23.14292831	16.98887022	19.89399875	30.06707096	22.75003866	31.6207411	135.8541957
CIITA	121.5502314	95.65902383	36.15966501	63.79768028	26.26989788	23.32537161	27.63470579	25.25529385	24.74555189	67.7929088	44.17622962	57.18807711	24.44238728	23.47451995	29.73697309	25.47267962	38.86664813	150.0023013	18.8695745	67.84434765
CLCC1	27.7891818	42.24776799	35.93464686	35.05909253	57.92716006	40.60364863	26.13903385	40.78188827	32.72753979	54.60146217	35.05556644	32.93259528	39.16965424	37.86681482	36.72427659	40.44699207	51.96674542	51.85906984	41.92714437	39.6874415
CLCF1	61.40173626	42.80986937	48.05511666	121.3992867	68.07687803	43.74098558	57.6686755	36.93265732	43.31568268	44.68294419	74.89666357	46.96835322	41.34651139	40.80183278	58.82541931	42.49513606	42.74906155	59.57208427	47.74127946	24.71447819
CLEC4E	20.70414541	18.58558176	98.55401972	49.1399919	11.13723716	24.73981091	280.0084598	21.11894247	17.27420315	56.04077492	58.53767926	20.16767877	18.36843106	27.89738771	38.2336454	19.45211441	19.51622166	31.45658318	23.36701643	23.49167408
CLEC5A	12.98292748	11.86480331	97.52192056	23.25975407	10.22467155	15.16108743	56.22675932	19.92657933	12.7425743	191.7649953	109.7549634	39.81637636	17.19997046	18.90166315	13.63964951	9.618154699	13.29645268	61.63366927	16.69046518	27.51389984
CLIC2	7.468387247	8.611576173	32.75340669	43.32486621	14.53433078	17.92876361	26.3459459	16.40414786	10.72987451	63.65224108	73.08324087	124.1197215	10.77888783	22.16149626	10.93696992	18.05563143	62.82223422	202.9639468	49.95556574	43.39825315
CNNM1	19.61789398	17.66561499	18.80153057	17.61030231	20.51884528	24.53321458	30.39384259	21.8796479	22.13548439	17.45349877	28.06154035	29.60525796	15.23410526	22.22185892	29.19904827	19.54136123	15.5882903	16.4153466	22.62154018	107.8466078
CNOT1	260.3170197	230.8352719	140.850067	83.83487872	228.6621511	81.27237088	102.9307928	139.1820965	127.6277602	108.7384462	82.16023697	94.4983749	138.5490071	122.7605196	131.0104129	176.3468061	109.8844621	100.3639707	220.0375206	69.85150713
COL4A3	19.29580211	38.98891791	12.43995681	11.25667227	19.12420137	17.49470048	17.28859084	16.13812635	13.97814569	18.22680619	11.53797592	11.40818467	10.75907029	12.17325277	10.703552	11.46982	10.04244276	13.28415212	16.39646867	24.65654278
CP	17.00364152	20.70941969	13.2037511	11.04519585	14.08199321	21.34070423	18.1156877	13.83729271	11.36970415	18.50482878	26.83125596	13.18819811	8.559270729	10.40288878	21.49822141	13.48512297	14.24224733	13.82999153	21.6810662	90.84015518
CRISPLD2	19.19545005	23.76177648	180.2384048	53.03085184	20.60014779	27.32188501	138.2098871	32.29319963	17.61098593	49.73270252	78.67567215	22.91682658	28.45249636	194.8859945	33.97747143	14.78369332	23.01232851	22.42758	31.77311998	13.10359112
CRLF2	16.03267477	13.66886662	27.25744833	19.67819383	11.40339121	19.15539169	28.60984736	18.07931937	17.86107986	37.14468009	17.54946448	15.36194711	29.52186077	57.24140524	24.16501589	14.41155335	20.34664348	97.08627674	28.33098385	30.25127984
CSTA	17.25957913	15.35953638	574.7465298	401.8013435	61.11498416	36.78289124	293.7510535	29.48469399	24.49647625	34.65174437	97.22243564	85.57357745	33.40806536	18.12443923	85.18983137	16.85978564	205.5933267	165.527305	28.27784177	15.44241179
